row_index,model,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,twf,hdf,pwf,osf,rnf,true_label,predicted_label,predicted_probability_failure,error_type
6612,XGBoost,L,301.6,310.6,1222,70.0,62,0,0,0,0,0,0,1,0.9686614274978638,false_positive
7086,XGBoost,L,300.6,310.4,2514,13.4,215,0,0,0,0,0,0,1,0.9329767823219299,false_positive
5911,XGBoost,M,300.8,310.4,1288,64.0,3,0,0,0,0,0,0,1,0.926385223865509,false_positive
3729,XGBoost,M,302.4,311.3,1312,61.5,85,0,0,0,0,0,0,1,0.9199758172035217,false_positive
3856,XGBoost,M,302.4,311.2,1330,58.6,201,0,0,0,0,0,0,1,0.9167961478233337,false_positive
2904,XGBoost,L,300.6,309.4,2496,13.5,111,0,0,0,0,0,0,1,0.9151995182037354,false_positive
8469,XGBoost,M,298.6,309.7,1280,64.1,71,0,0,0,0,0,0,1,0.9096078276634216,false_positive
3944,XGBoost,L,302.2,311.2,1381,49.4,207,0,0,0,0,0,0,1,0.9065396785736084,false_positive
5698,XGBoost,L,302.5,311.9,1265,59.8,119,0,0,0,0,0,0,1,0.9052540063858032,false_positive
4633,XGBoost,L,303.0,311.2,1382,50.5,203,0,0,0,0,0,0,1,0.9020077586174011,false_positive
5590,XGBoost,M,302.5,311.9,1340,59.4,60,0,0,0,0,0,0,1,0.889312744140625,false_positive
3766,XGBoost,L,302.3,311.1,1373,53.0,181,0,0,0,0,0,0,1,0.8833776712417603,false_positive
7677,XGBoost,L,300.6,311.7,1428,52.6,208,0,0,0,0,0,0,1,0.8775636553764343,false_positive
5589,XGBoost,M,302.5,311.9,1298,57.5,57,0,0,0,0,0,0,1,0.8765134215354919,false_positive
3866,XGBoost,L,302.6,311.6,1311,53.2,0,0,0,0,0,0,0,1,0.8687874674797058,false_positive
4060,XGBoost,M,302.0,310.9,1352,55.5,59,0,0,0,0,0,0,1,0.8683494925498962,false_positive
5192,XGBoost,L,303.9,313.1,1310,62.9,130,0,0,0,0,0,0,1,0.8660351037979126,false_positive
3161,XGBoost,L,300.4,309.8,1314,63.1,146,0,0,0,0,0,0,1,0.8630453944206238,false_positive
5549,XGBoost,H,302.3,311.9,1374,52.4,154,0,0,0,0,0,0,1,0.8605736494064331,false_positive
5988,XGBoost,H,300.7,310.8,1296,58.2,204,0,0,0,0,0,0,1,0.8600097894668579,false_positive
5701,XGBoost,M,302.5,311.9,1347,54.3,125,0,0,0,0,0,0,1,0.856794536113739,false_positive
6744,XGBoost,M,301.7,311.0,1298,58.1,168,0,0,0,0,0,0,1,0.8559767603874207,false_positive
3446,XGBoost,H,301.6,310.6,1400,49.5,211,0,0,0,0,0,0,1,0.8477107882499695,false_positive
5738,XGBoost,L,302.3,311.7,1281,48.8,0,0,0,0,0,0,0,1,0.8294810056686401,false_positive
5593,XGBoost,L,302.6,311.9,1354,48.0,67,0,0,0,0,0,0,1,0.8294810056686401,false_positive
3737,XGBoost,L,302.2,311.1,1351,48.6,110,0,0,0,0,0,0,1,0.8294810056686401,false_positive
1855,XGBoost,H,297.7,307.3,1249,62.8,47,0,0,0,0,0,0,1,0.8260821104049683,false_positive
5656,XGBoost,M,302.3,311.5,1316,47.2,4,0,0,0,0,0,0,1,0.8090398907661438,false_positive
5762,XGBoost,L,301.8,311.2,1334,52.3,68,0,0,0,0,0,0,1,0.8060407042503357,false_positive
7070,XGBoost,L,300.7,310.7,1333,61.0,177,0,0,0,0,0,0,1,0.802314043045044,false_positive
